row_Number,text,polarity
10293,"you've seen small likable comical film, sure feel better. Cheer Yves B. Pelletier given birth small magnificent movie moment, according me, recognized marking movie year 2004 Quebec. actors Isabelle Blais, Emmanuel Bilodeau, Sylvie Moreau St?Ÿ??phane Gagnon deliver touching performance. would compare feeling wonderful story gives ones Le Fabuleux Destin d'Am?Ÿ??lie Poulain given me. you've like Jean-Pierre Jeunet magnificent film, would say also like first movie Yves B. Pelletier, Les Aimants",1
16594,"may Oscar Golden Globe, film shows also perennial Razzie nominee. film bad must indication needs money. could ads shouldn't talk cell phone driving, especially night way crowded mall.<br /><br />Susan Montford stick producing (Shoot 'Em ) good writer/director.<br /><br />She accosted four thugs mall parking lot, first thing tell gun. do? starts pushing cursing like knows martial arts something. manages get away, gets lost forest crashing. didn't run someones house? get four thugs guns chasing lady toolbox. course, guns match wrench. Ha! course, also tire iron screwdriver. poor thugs.<br /><br />Now, she's home Christmas - brought gun!",0
20132,"saw Mary Louise Parker associated epic novel turned film, intrigued. fan book, assumed she'd playing Tony, Roz, Charis, so, intrigued see would turn head-y, almost psychological (but psychological thriller) novel movie would accessible hadn't read novel, would least mildly satisfying had. book complex reflection society, women, modern life, interested see used 3 different narratives lead unfolding story film. actually crime.<br /><br />The biggest error confusing issue is: would Oxygen, network advertises women, take amazing book complex, wonderful, terrible women be, change protagonist 3 women dumb former cop real motive involved story? seems like whoever adapted took easy way using guy straight ask Roz, Tony, Charis knew Zenia that, rushed bulk book. though muddied story cut everything great characters it, aside making audience one credible associate with. film, women aren't people, characters.<br /><br />In book Zenia fake death, book mentions get point across, film wastes 30-45 minutes focusing former cop running around nothing use. tried make complex book episode Law Order CSI.<br /><br />It turns Mary Louise Parker played Zenia, wrong. Zenia Catherine Zeta-Jones, Angelina Jolie, maybe even Scarlett Johnasson type. woman men can't adore, woman women intrigued threatened by, ""keep enemies closer"" kind way. gets closer, seems totally genuine trust worthy, despite better judgment. She's kind woman who, even loses, wins: she's always still beautiful, still rich, always still people don't know game.<br /><br />In film, Zenia didn't take Charis's man (the blonde American draft dodger using Charis first place...) instead took August tried become legal guardian (and apparently came back Lesbian lover lingering kiss coffee shop implies). Zenia kill chickens leaving August, made sense since build removed. It's whoever wrote screenplay grasping straws satisfy us read book, think read book, would spent whole movie confused, bothered stick all.<br /><br />And Roz's husband dead Zenia came picture (which weird since Zenia took Roz's business home life book, Roz hated much) Zenia conspired kill Roz's husband years years back. according film Tony West dating forever...even party Zenia West (in book) painted whole place black made Tony seem like totally (and evil, bitchy) person always respected everyone intelligence popular it. Tony's character wrong film...she seemed little psycho like mastermind behind whatever conspiring going opposed kind gawky, mildly reclusive teacher book. film basically implied smart women evil, beautiful women evil, powerful women evil, women teach yoga rockers.<br /><br />They basically tried make Zenia wasn't necessarily awful book, then, end, three women convince former cop (who, course process researching this, meets Zenia affair supposed end moving Barbados something ridiculous, course Zenia bails on) hide Zenia's body (which found splat hotel staying at, film implies one three women pushed balcony, conspired together it...) Zenia also managed take Roz's money process. end film half paying attention commercials b/c spiraled far space could been.<br /><br />If aren't confused breakdown film, maybe would like it, read book seen movie, movie alone ridiculously confused. terrible. get making film book quite task, going take task, start determining book unnecessary, instead creating useless character Alice wonderland. <br /><br />Are really fluffier books Oxygen could making least half decent TV movies of?",0
12702,"music student myself, thought movie taking place conservatory might fun watch. Little know... (I idea movie based book Britney Spears) movie implausible throughout. It's obvious whoever wrote script never set foot conservatory doesn't know thing classical music. Let give examples: 1) WAY anyone would admitted classical conservatory classical training whatsoever! nice pop voice isn't enough, besides, that's different thing altogether - another genre, different technique. It's like playing violin applying viola class. 2) come lady teaching music theory singing jury? wasn't singing professor herself, would say situation like that, singing professor, weren't told so? 3) able read music necessity you're major music. 4) Angela get hold video tape? would kept confidential, jury's eyes only. either got tape one professors script writers didn't clue. wonder which... 5) singing professor gave Holly Carmen song saying ""had range"", clearly NOT. Yes, able sing notes, Carmen mezzo-soprano, Holly's voice seemed much lighter timbre, compatible song. 6) Worst all: movie show shocking ignorance comes classical music, doesn't even try hide it. aria Angela sings mutilated beyond recognition, fact painfully blatant recital, cut short disgraceful way - Mozart would roll grave. Habanera Carmen sounded bit weird times, too, way rearranged end shows little producers really think classical music - it's stiff boring hey, add drums electric guitars it's almost good Britney Spears! know minor details, would easy avoid little research. Anyhow, might chosen suspend disbelief characters plot well elaborated. without that, really can't find redeeming qualities movie except one: it's good laugh.",0
2235,absolutely loved movie. met expectations went beyond that. loved humor way movie wasn't randomly silly. also message. Jim Carrey makes happy. :),1
17469,"2005,George W. Bush started second period President United States; North Korea announced possession nuclear weapons; Pope John Paul II died long illness; movie called Blue appeared.The existence movie bad things happened year,but film pathetic maybe,the worst one year.Now,in 2009,the United States another President,there another Pope,new Korean nuclear weapons...and film Blue 2 : Reef,which better original one...but that's saying : ""getting fingers cut better getting head cut"".This sequel really bad film kept tremendously bored uninterested.The cast Blue 2 : Reef composed TV-series actors completely lack credibility dramatic weight,but perfect showing bodies.Chris Carmack (The O.C.),David Anders (Heroes Alias),Laura Vandervoort (Smallville),Marsha Tomason (Lost) Audrina Patridge (The Hills) bring hollow boring performances.I liked previous movies director Stephen Herek (Critters Bill Ted's Excellent Adventure specially) movie,he cannot generate even minimum level tension,emotion entertainment.The characters movie badly performed,but also repulsive.Honestly,I wanted die.The cinematography movie also lame seems made technical team makes promotional videos Hawaiian hotels.Into Blue 2 : Reef horrible movie better original film,but that's nothing,as previously said.Avoid crappy film costs.",0
17380,"wonder who, importantly decision call Richard Attenborough direct singular sensation hit Broadway many many years? He's Academy Award winning director. Yes, Ghandi moron! Jeremy Irons Academy winning actor want see play Rocky Balboa? experience musicals. Really? ""Oh lovely war"" forgotten? answer question, yes! film disappointment, clear simple. ounce live energy survived heavy handedness proceedings. Every character danced beautifully charming projection theatrical. felt nothing. saw stage felt everything. film cast stars, unknown, newcomers stars compelling unforgettable faces even invisible group. Great actors could dance beautifully. Well Michael Douglas it. True forgot I'm absolutely wrong absolutely right. Nothing like Richard Attenborough Michael Douglas musical.",0
19985,"saw film must say although shown beginning effort produce decent film, absolutely horrible -- sense intended I'm sure.<br /><br />It like child directing insult intelligence belief would-be viewers morons extremely hard entertainment both.... Thank God fast forward! can't imagine type viewer producer mind making film. mean, actors trying serious, albeit barely, script cries total rewrite,.... can't say anymore. Harlequin Romance decided horror films, would good effort.<br /><br />If found movie entertaining, strongly suggest seek guidance purpose movies. MUCH BETTER fare there. Join club, READ REVIEWS, all, avoid crap like this.",0
12677,"Roger Corman undeniably one versatile unpredictable directors/producers history. single-handedly responsible favorite horror films ever (like Edgar Allen Poe adaptations ""Masque Red Death"" ""Pit Pendulum"") well insufferably cheap tacky rubbish quickies (like ""Creature Haunted Sea"" ""She Gods Shark Reef""). Corman also made couple movies simply unclassifiable ???? simply put ???? nearly impossible judge properly. ""The Trip"", example, well imaginatively titled ""Gas-s-s-s"" somewhat labeled psychedelic exploitation. words, they're incredibly strange hippie-culture influenced movies. Half time haven't got slightest idea what's going on, characters walk back forth screen hell whole thing going. plot simply yet highly effective: strange deadly nerve gas accidentally unleashed promptly annihilates entire world population age 25. *could* basic premise atmospheric, gritty nail-bitingly suspenseful post-apocalyptic Sci-Fi landmark, writer George Armitage Roger Corman decided turn ""trippy"" road-movie comedy. None characters even trying prevent inevitable upcoming deaths; party streets found little juvenile crime syndicates. ""Gas-s-s-s"" disappointingly boring tries overly hard bizarre. entire script appears improvised spot funny. Definitely cup tea, film loyal fan base many admirers, say it's worth time money?",0
22048,"seen most, Laurel & Hardy classic films. always enjoyed comical stupidly, even watching again. new film attempts bring back classic two new actors resemble Laurel & Hardy, however fails miserably various reasons. One place cloths (still early 20th century) however portrayed 90's setting. former dialogue brought back, however also fails miserably come close classic series. film could well worst film ever seen pulled shelf locked away forever. real Laurel & Hardy surly spinning graves bad imitation.",0
2787,"think 'Blackadder Third' best one series.<br /><br />Actuelly episodes funny, personally really like episode 'French invasion', one superstitious actors, 'MACBETH' also really funny, way Rowan keeps playing really (English) Humor highest level.<br /><br />Actors: 'Never say again, always call Scottish Play; Blackadder: Oh, want say Scottish Play? Actors: YES Blackadder: Rather MACBETH...!<br /><br />I big fan Rowan majority work, think series Blackadder especially good.<br /><br />I Hope Rowan going continue great style, think count him, already working Bean 2 Movie, year, can't wait...<br /><br />I Give 3rd Blackadder 9 10 Rating.",1
7697,"Diego Armando Maradona sixteen years age 1978 Argentina World Cup home. already biggest star, greatest player country obsessed football. Everybody begged Cesar Luis Menotti play boy genius, manager thought yet ready.<br /><br />History records Argentina 1978 World Cup fairly convincingly - hadn't really needed Maradona. true 1982. Spain catalogue disaster Argentina. Menotti - still chain smoking - played Diego time, occasion much temperamental boy. Maradona signed Barcelona June 4 1982 around $7 million - nine days later played first game Camp Nou Belgium beat Argentina one-nil. auspicious debut, even though scored twice Hungary next match, Maradona remember mundial site nadir - crude, petulant foul Brazil's Batista Second Round abruptly ended tournament Argentina's reign world champions.<br /><br />But behind him. Maradona muddled way crazy times Barca, left 1984 join Napoli. finally home. Neapolitan tifosi done everything entice Maradona poor, underachieving Napoli. Gifts old women pocket money young boys nestled uncomfortably Camorra's millions part transfer fee, city determined make feel home. So, time least, Maradona El Rey - brought Argentine side Mexico one favourites, new manager - Carlos Bilardo replacing Menotti.<br /><br />Maradona hero story, one-man World Cup winning machine. 1982, hundreds young men died pointless battle Falkland Isles; British press yearned rematch (with result) Mexico City. Maradona still regarded distinction England, remembered superb performance Britain 1980 tour Spain. still Argie: enemy.<br /><br />England actually started well, Lineker could scored twelve minutes. key event happened 8 minutes. Fenwick, big limited English defender, booked - terrified making challenges around penalty area.<br /><br />After tense first 45 minutes, second half started bang. Maradona danced forward 50 minutes, could find way through. Similarly Valdano's attempt hit white shirts. moment infamy serves Diego's epitaph. Hodge bizarrely hooked ball back penalty area, Shilton hurriedly jumped claim - Maradona, somehow rising English goalkeeper thrust ball net. done it? Simple: handball.<br /><br />The famous foul football history passed near slow motion. Every spectator waited Mr Al-Sharif Syria blow foul (he didn't). Shilton looked appealed linesman - ran back centre circle. Unless assassinates Pope, becomes first man step foot Mars, great man dies moment shown first - long, lingering, slow motion, followed look glee face. next image next gift world - World Cup's finest goal.<br /><br />Burruchaga stroked ball Maradona ambling around right hand side half. span, accelerated away Beardsley Reid. real Diego - burst Butcher attacked Fenwick. Fenwick opportunity stop attack. Normally, would aimed boot somewhere near Maradona's thigh - sure would picked red card, cares? Fenwick brainwave - hesitated, decided run Maradona waving arms - perhaps trying put off? Diego shot box Fenwick fell over. Butcher running alongside genius offering encouragement. Shilton charged panic, Maradona twisted around prepared score. Butcher remembered role tried cripple Argentinean - instead gave extra impetus shot, smashed goal. England coming home.<br /><br />During magical Mexican summer, world found successor Pele. fact greatest ever footballer surpassed - Pele superb 1958 1970, great players around him. Maradona not. 1986 World Cup.",1
8564,"finally got around seeing hearing great things it. actually exceeded expectations. Considering budget involved surprisingly competent well-made film. lack finances actually helped film several ways, especially given plot. like Blair Witch Project, film better shot video instead film. Another bonus: Whereas low-budget horror films (even best best) suffer mediocre-to-unintentionally hysterical acting, film actually talented cast (save one two characters), particularly two leads. thing missing film original storyline. borrows heavily better-known films like ""Deliverance"" ""Wrong Turn"" you're like me, films nature never cease terrifying. Plus, director keeps things interesting throughout. I'd interested see director would bigger budget feeling matter time find out...",1
1576,"love Paul McCartney. is, oppinion, greatest time. could not, however, afford ticket concert Tacoma Dome Back U.S. tour. upset say least. found DVD. almost good there. Paul still man enjoy years come. <br /><br />I one complaint. would like hear Hey Jude.<br /><br />Also Paul dead.<br /><br />The single greatest concert DVD ever.<br /><br />***** *****.",1
7698,"<br /><br />Human Body --- WoW.<br /><br />There 27,000 Sunrises human life....<br /><br />Hardly one thousand Sunrises watched 90% Humans planet....<br /><br />Our days limited...<br /><br />Excellent movie women.... makers human body...<br /><br />Thanks Regards.<br /><br />",1
5032,"pleasure watch short film ""The Cure"", first time director Ryan Jafri. really impress camera work music.<br /><br />I think many young filmmakers (as one them) would experience hard time cinematography start making indie. see output exactly imaged ambitions. film, directorial debut young director, handled well screen. camera motion, color, lighting, compositing contribute story emotion film.<br /><br />And music, key element film language, helps great deal too.<br /><br />It's hard portray woman's heart, desire, fear, especially short. still, admit fan v/o (narration), especially film advanced narration, instead shots cuts. personal feeling narrative part is, guess narrator tried bit hard. energy pushes audience back emotion film.<br /><br />Overall, it's short film nicely done, could see input director. Way go, Ryan! Greeting China, looking forward next.<br /><br />tim",1
2130,"Jackie Chan's best film, personal favourite. disappointing U.S made 'The Protector' directed James Glickenhaus, Jackie took concept placed slap bang Hong Kong. also probably Jackies violent movie, audience cringing bone breaking stunts.<br /><br />The action fast furious, Jackie crew really put max effort fight design. Bones broken blood spilt process making film you'll see credits.<br /><br />The script simple cops robbers affair, nothing special, written around action. must say english version dodgy dubbing, shouldn't put much.<br /><br />So, get lads round, crack open beers enjoy. way, film nicknamed 'Glass Story' stunt crew. Why? I'll let find yourself!!",1
24275,"heard bad things Cabin Fever almost much heard cultish hype. turns out, first film new impresario Eli Roth, it's so-so effort IQ points dropping film progresses. worse movies there, surely gory ones (while I'm sure hype-meter got high blood-count Hostel, good amount genre fans here). premise isn't necessarily bad either though: kids go cabin week partying, come across sick man, covered blood, panic set fire. winds dead water feeds reservoir, soon characters succumb flesh-eating virus one way another. characters, either lead college kids (including Rider Strong hero James DiBello goofy side-bar) supporting 'village' folks archetypal point inertia, painfully so. <br /><br />As meet fates, townspeople get pretty weird, seems non-sensibly thrown together without many laughs; 'Pancakes kid' comes nowhere, maybe might funnier another movie itself, context rest movie, doesn't work. There's also young police character even dumber less convincing others. family goes DiBello following incident possibilities aren't realized. while, Roth pumps script common sense window sudden scares frights people hacking blood one another killer dog rambling around. isn't either. Now, unlike lesser Troma horror movies even lesser ones 70s 80s- I'm sure Roth die-hard fan- doesn't make unwatchable. It's also smart explanation virus comes from. <br /><br />But unlike films too, also doesn't really fine idea makes great campy-horror times. film tries that, course, twice make goofy, bloody time (I like random bunny Strong sees gurney). It's even poorly shot lot time (albeit contrived style-choices ala red tint lens story bowling-alley worker). simply contains lot illogical scenarios choices made (shave legs deadly virus, uh-huh), aims fairly typical ground. that's cup tea, power you. end found actually un-exceptional genre territory doesn't offend audience sensibilities ala Saw, doesn't swing fence either clever B-movie. Roth also temerity end movie true note 'what-the-hell' Santa Claus bearded convenience store clerk earlier film serves bunch black people. could work followed something better, dropped altogether. could said lot movie. C-",0
15961,"""La Furia del Hombre Lobo"" forms completely stand-alone storyline doesn't seem fit previous Waldemar Daninsky movies. commented movie supposed take place events ""Werewolf Shadow"", although released afterwards ... may right, I'm sure. Anyway, movie Waldemar Daninsky bitten yeti-like creature Tibet (great dialogue -- ""It yeti. that's impossible. I'm scientist things don't exist. hallucination. That's all."") although marked sign pentagram, able prevent change werewolf discovers wife cheating him. Changing beast one night, kills lover running storm electrocuted. It's long he's resurrected dominatrix university professor conducting kind unfathomable experiments mind control. taken underground cellar castle subjects experiments live like chained animals.<br /><br />First -- Jacinto Molina, Paul Naschy, whatever want call him, he's fine actor cared passionately work. matter flawed movies are, always rely decent performance. rest cast seem good enough, it's hard tell half-assed voice-over dubbed lines. really main problem ... many voice-over artists used awful, awful, awful. Whenever chuckled movie inept way delivered lines (they seem constantly refer hero ""Waldeman""). unfortunately it's almost impossible find subtitled copies Naschy movies, although they're sometimes available original language without subtitles.<br /><br />The directing Jose Maria Zabalza seems sort hit-and-miss ... great visual ideas scenes, others badly constructed poorly edited, particularly final scenes really counts. reason this, Zabalza apparently drunk time set. allowed fourteen year old nephew rewrite Molina's dialogue, used extras without permission, spliced several shots Molina's earlier movies. pretty much ruined chance movie one Molina's best works, it's surprise two never worked together again.<br /><br />But it's bad news, good ideas here. aspects storyline make interesting psychological drama werewolf metaphor jealousy rage. 'werewolf yeti' idea one returned Molina's later work. pretty horrific surreal stuff goes cellar, there's also memorable sequence half way film Daninsky runs house house village, slaughtering molesting innocents goes -- one scene particularly intense, it's actually lifted straight Molina's first movie, ""La Marca del Hombre-lobo"" along shots. actually found movie whole entertaining, although problems Front Row Entertainment version, pretty obvious cuts (although may simply due director's lack continuity). Gods knows omissions -- I'll probably try get hands uncut version stage future.<br /><br />This overall decent piece vintage Naschy experienced fans might enjoy, could much better probably wouldn't make great introduction.",0
19143,"loyal Duran Duran fans want watch good music video, skip one. producers decided get creative make 80's video something sci-fi story, involving evil Barbarella villain band got name. <br /><br />What makes idea fail right middle great 80's Duran Duran songs, confusing annoying cut scenes take place showing fictional antagonist trying stop band one concerts. good music repeatedly interrupted, suffer cheap spin-off story hosted evil Dr. Mario. It's almost much bear. 2/10",0
2872,"watch low budget film know expect. expect acting good (budget reasons), expect lighting good (budget reasons)I expect sound good (budget again). Stop judging low budget movies like big budget film!!! I'm filmmaker understand budget constraints low budget film. Stealing locations, shots etc... list goes on. don't want say acting bad. Jose Rosete, Chris Angelo, Victor Zaragoza good. Raul Martinez natural. sold Carl Washington yet. understand every line important, throw away lines. say film makes want see happens next, it's good film. liked movie. gave 8. wanted see gonna happen next. Great job Quiroz brothers!",1
